FECHA,PRECIP,EVAP,TMAX,TMIN,HUMEDAD_RELATIVA
29/12/1924,  0,  Nulo, 17  ,5 ,
30/12/1924,  0,  Nulo  ,  18.5  , 4.5 ,
31/12/1924,  0,  Nulo  ,  18 , 4.5 ,
01/01/1925,  0,  Nulo  ,  18 , 5.6 ,
02/01/1925,  1.2 ,  Nulo  ,  16.5  , 4.5 ,
03/01/1925,  0,  Nulo  ,  16.5  , 4.7 ,
04/01/1925,  0,  Nulo  ,  17 , 4.5 ,
05/01/1925,  0,  Nulo  ,  16 , 4.3 ,
06/01/1925,  6.2 ,  Nulo  ,  17 , 7.5 ,
07/01/1925,  0,  Nulo, 13.5,5 ,
08/01/1925,  0,  Nulo, 18  ,6 ,
09/01/1925,  0,  Nulo, 20  ,10.5 ,
10/01/1925,  0,  Nulo  ,  16.5  , 9.6 ,
11/01/1925,  3.7 ,  Nulo, 21.5,10.5 ,
12/01/1925,  0,  Nulo  ,  15.5  , 6.5 ,
13/01/1925,  0,  Nulo  ,  13 , 5.5 ,
14/01/1925,  0,  Nulo  ,  10.5  , 5.2 ,
15/01/1925,  0,  Nulo, 12.5,5 ,
16/01/1925,  0,  Nulo  ,  17 , 8.5 ,
17/01/1925,  5,  Nulo, 19  ,7 ,
18/01/1925,  0,  Nulo  ,  17 , 5.5 ,
19/01/1925,  10  ,  Nulo, 16  ,3 ,
20/01/1925,  9.5 ,  Nulo  ,  8.5, 4.5 ,
21/01/1925,  3.7 ,  Nulo, 14.5,7 ,
22/01/1925,  1.7 ,  Nulo, 11.5,6 ,
23/01/1925,  0,  Nulo, 11  ,5 ,
24/01/1925,  0,  Nulo, 9,2 ,
25/01/1925,  0,  Nulo  ,  8  , 2.5 ,
26/01/1925,  4.7 ,  Nulo  ,  17 , 7.5 ,
27/01/1925,  0,  Nulo, 19.5,4 ,
28/01/1925,  0,  Nulo  ,  11 , 2.3 ,
29/01/1925,  0,  Nulo, 14  ,4 ,
30/01/1925,  0,  Nulo, 15.5,5 ,
31/01/1925,  0,  Nulo, 13  ,3 ,
01/02/1925,  22.5,  Nulo  ,  19 , 5.5 ,
02/02/1925,  5,  Nulo, 19.5,6 ,
03/02/1925,  0,  Nulo  ,  18.5  , 9.5 ,
04/02/1925,  0,  Nulo  ,  12.5  , 3.8 ,
05/02/1925,  0,  Nulo  ,  15.5  , 3.2 ,
06/02/1925,  0,  Nulo, 17  ,6 ,
07/02/1925,  0,  Nulo  ,  18.3  , 8.5 ,
08/02/1925,  12.5,  Nulo, 22  ,9 ,
09/02/1925,  0,  Nulo  ,  23 , 9.5 ,
10/02/1925,  30  ,  Nulo, 16  ,5 ,
11/02/1925,  0,  Nulo  ,  11 , 3.5 ,
